x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
0.010380,-0.011374,-0.002551,0.000219,0.000341,0.000253,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061958,0.000000,0.061556
0.010337,-0.011438,-0.002640,0.000214,0.000338,0.000253,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061830,0.000000,0.061400
0.010300,-0.011495,-0.002719,0.000209,0.000334,0.000254,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061639,0.000000,0.061272
0.010261,-0.011556,-0.002805,0.000204,0.000332,0.000255,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061486,0.000000,0.061168
0.010226,-0.011612,-0.002885,0.000200,0.000330,0.000254,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061313,0.000000,0.061046
0.010187,-0.011675,-0.002973,0.000195,0.000328,0.000252,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061192,0.000000,0.060911
0.010153,-0.011730,-0.003052,0.000191,0.000328,0.000251,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061041,0.000000,0.060762
0.010117,-0.011790,-0.003136,0.000185,0.000324,0.000246,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060935,0.000000,0.060607
0.010085,-0.011845,-0.003213,0.000183,0.000326,0.000247,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060829,0.000000,0.060462
0.010049,-0.011907,-0.003299,0.000178,0.000323,0.000247,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060681,0.000000,0.060306
0.010018,-0.011961,-0.003377,0.000174,0.000320,0.000248,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060514,0.000000,0.060190
0.009985,-0.012019,-0.003461,0.000170,0.000318,0.000249,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060354,0.000000,0.060098
0.009955,-0.012073,-0.003538,0.000166,0.000315,0.000248,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060200,0.000000,0.059988
0.009922,-0.012133,-0.003625,0.000162,0.000314,0.000246,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060083,0.000000,0.059871
0.009893,-0.012186,-0.003701,0.000159,0.000313,0.000245,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059943,0.000000,0.059737
0.009862,-0.012243,-0.003783,0.000155,0.000312,0.000242,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059843,0.000000,0.059596
0.009835,-0.012296,-0.003859,0.000151,0.000311,0.000239,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059723,0.000000,0.059451
