x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.011659,0.012710,0.001308,0.009519,-0.019188,-0.007615,-0.060708,-0.271107,-0.089639,-0.238622,0.175627,-0.348820,0.386769,-0.250547
-0.012608,0.014548,0.002972,0.010501,-0.022594,-0.010395,-0.068836,-0.271807,-0.085184,-0.233318,0.184298,-0.415099,0.335635,-0.226758
-0.013723,0.016781,0.005057,0.011217,-0.025471,-0.012036,-0.051490,-0.349829,-0.096787,-0.249885,0.140019,-0.357394,0.373562,-0.226675
-0.014780,0.018749,0.006835,0.011464,-0.024330,-0.011107,-0.027068,-0.446477,-0.136086,-0.242045,0.081057,-0.345907,0.417819,-0.231921
-0.015992,0.020886,0.008867,0.012010,-0.024523,-0.011724,-0.020943,-0.491348,-0.124227,-0.267707,0.071824,-0.384431,0.447585,-0.259415
-0.017106,0.022911,0.010860,0.011711,-0.025308,-0.012457,-0.041876,-0.468710,-0.075126,-0.328007,0.060401,-0.386744,0.533554,-0.302764
-0.018521,0.025341,0.012953,0.012041,-0.024218,-0.010465,-0.031425,-0.481213,-0.110561,-0.343595,0.049844,-0.353629,0.566782,-0.328498
-0.019759,0.026985,0.014227,0.012493,-0.018884,-0.007343,0.001042,-0.493038,-0.194177,-0.300214,0.107067,-0.312566,0.488590,-0.337765
-0.020860,0.027700,0.014325,0.013008,-0.008580,-0.000616,-0.026982,-0.463454,-0.165879,-0.344877,0.112783,-0.310739,0.469430,-0.324435
-0.022032,0.027893,0.013415,0.013741,-0.001474,0.005248,-0.092457,-0.389636,-0.108053,-0.417432,0.046139,-0.360551,0.494537,-0.268343
-0.023280,0.028244,0.012291,0.012835,-0.002599,0.005622,-0.143969,-0.210849,-0.150167,-0.470116,0.108617,-0.364057,0.499182,-0.298808
-0.024330,0.028970,0.012034,0.012761,-0.008422,0.001608,-0.167890,-0.077984,-0.217457,-0.497551,0.225991,-0.317548,0.486948,-0.373100
-0.025413,0.029656,0.011964,0.011972,-0.007478,0.000402,-0.161111,-0.086723,-0.256236,-0.426889,0.265980,-0.264933,0.292698,-0.280527
-0.026263,0.030382,0.011937,0.010153,-0.008618,0.000166,-0.131356,-0.184427,-0.302755,-0.335563,0.229171,-0.248715,0.084267,-0.127423
-0.027022,0.031364,0.011968,0.008318,-0.010820,-0.000175,-0.153026,-0.227350,-0.263460,-0.340793,0.120940,-0.395455,0.184774,-0.099936
-0.027695,0.032195,0.012357,0.007551,-0.010286,-0.002430,-0.184767,-0.286372,-0.101532,-0.397385,-0.003404,-0.544703,0.432209,-0.158759
-0.028505,0.032248,0.013202,0.007964,-0.001395,-0.004874,-0.137184,-0.329588,-0.095307,-0.379711,0.054975,-0.426646,0.526484,-0.280048
-0.029629,0.032038,0.013857,0.012582,0.001808,-0.004097,-0.038847,-0.330158,-0.271552,-0.298921,0.194655,-0.253468,0.532137,-0.423152
-0.030907,0.031639,0.014472,0.013367,0.003755,-0.003550,-0.035428,-0.230980,-0.452285,-0.235859,0.208724,-0.297024,0.426511,-0.361925
-0.032047,0.030658,0.014426,0.013627,0.011723,0.000292,-0.144302,-0.160859,-0.406203,-0.365614,0.093752,-0.357725,0.258789,-0.129376
-0.033233,0.028884,0.013660,0.013845,0.020351,0.004420,-0.199754,-0.181370,-0.369383,-0.391272,0.000585,-0.361906,0.247461,-0.042555
