x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.007216,-0.002684,-0.014747,0.000430,0.001320,0.000071,-0.065755,-0.005216,0.000318,0.017888,0.287503,-0.373553,0.233468,-0.137795
0.007177,-0.002802,-0.014758,0.000426,0.001292,0.000058,-0.065760,-0.005143,0.000109,0.017946,0.287489,-0.373625,0.233496,-0.137753
0.007141,-0.002908,-0.014765,0.000421,0.001263,0.000045,-0.065752,-0.005135,-0.000029,0.018001,0.287454,-0.373685,0.233532,-0.137708
0.007104,-0.003021,-0.014770,0.000417,0.001233,0.000032,-0.065758,-0.005086,-0.000231,0.018049,0.287416,-0.373747,0.233570,-0.137661
0.007069,-0.003122,-0.014773,0.000413,0.001205,0.000020,-0.065741,-0.005095,-0.000384,0.018089,0.287378,-0.373811,0.233651,-0.137657
0.007032,-0.003229,-0.014775,0.000408,0.001174,0.000008,-0.065740,-0.005086,-0.000559,0.018130,0.287336,-0.373874,0.233706,-0.137627
0.006998,-0.003325,-0.014774,0.000404,0.001144,-0.000004,-0.065724,-0.005103,-0.000719,0.018158,0.287295,-0.373907,0.233767,-0.137617
0.006961,-0.003426,-0.014772,0.000400,0.001114,-0.000015,-0.065714,-0.005127,-0.000870,0.018186,0.287246,-0.373959,0.233845,-0.137606
0.006928,-0.003517,-0.014767,0.000395,0.001083,-0.000026,-0.065698,-0.005178,-0.000999,0.018209,0.287189,-0.374015,0.233909,-0.137591
0.006893,-0.003612,-0.014761,0.000391,0.001051,-0.000037,-0.065685,-0.005207,-0.001167,0.018224,0.287141,-0.374064,0.233988,-0.137594
0.006860,-0.003698,-0.014754,0.000387,0.001022,-0.000047,-0.065659,-0.005284,-0.001288,0.018235,0.287078,-0.374107,0.234095,-0.137612
0.006826,-0.003788,-0.014744,0.000383,0.000991,-0.000057,-0.065642,-0.005358,-0.001406,0.018247,0.287013,-0.374143,0.234169,-0.137605
0.006794,-0.003868,-0.014733,0.000379,0.000960,-0.000067,-0.065615,-0.005434,-0.001551,0.018250,0.286956,-0.374173,0.234260,-0.137626
0.006760,-0.003953,-0.014720,0.000374,0.000928,-0.000076,-0.065591,-0.005518,-0.001690,0.018250,0.286890,-0.374229,0.234371,-0.137653
0.006729,-0.004028,-0.014706,0.000369,0.000897,-0.000084,-0.065565,-0.005637,-0.001769,0.018247,0.286812,-0.374260,0.234460,-0.137660
0.006696,-0.004106,-0.014690,0.000365,0.000867,-0.000093,-0.065539,-0.005743,-0.001877,0.018238,0.286740,-0.374274,0.234561,-0.137682
0.006666,-0.004176,-0.014674,0.000361,0.000835,-0.000101,-0.065499,-0.005879,-0.001952,0.018224,0.286672,-0.374312,0.234695,-0.137735
0.006634,-0.004249,-0.014655,0.000356,0.000804,-0.000109,-0.065472,-0.005991,-0.002077,0.018211,0.286600,-0.374360,0.234797,-0.137766
0.006605,-0.004313,-0.014637,0.000352,0.000773,-0.000117,-0.065428,-0.006140,-0.002134,0.018188,0.286535,-0.374359,0.234908,-0.137811
0.006573,-0.004380,-0.014615,0.000347,0.000742,-0.000124,-0.065398,-0.006284,-0.002230,0.018167,0.286444,-0.374376,0.235026,-0.137844
