x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.060445,0.113584,0.125270,0.090321,-0.009010,-0.026697,0.014998,-1.000000,-1.000000,-0.489230,-0.851926,-0.530253,0.661484,-0.110510
-0.068574,0.114896,0.125984,0.093786,-0.017245,-0.004462,-0.120758,-1.000000,-1.000000,-0.834070,-0.781598,-0.488889,0.689457,-0.152544
-0.076444,0.117119,0.123288,0.097115,-0.018077,0.015536,-0.283325,-1.000000,-1.000000,-1.000000,-0.655441,-0.457426,0.719578,-0.234319
-0.082794,0.120578,0.117917,0.099310,-0.026032,0.033588,-0.443984,-0.918588,-1.000000,-1.000000,-0.515438,-0.411775,0.765412,-0.314290
-0.088459,0.125666,0.109273,0.098559,-0.031700,0.049871,-0.602244,-0.716819,-1.000000,-1.000000,-0.390793,-0.373351,0.861742,-0.367840
-0.092968,0.130807,0.099855,0.098386,-0.030694,0.058854,-0.758880,-0.605292,-0.532416,-1.000000,-0.282002,-0.314848,0.923099,-0.352908
-0.097049,0.136513,0.088534,0.096659,-0.027310,0.065349,-0.874800,-0.486949,-0.069629,-1.000000,-0.125235,-0.222191,0.852889,-0.301397
-0.100101,0.141606,0.077658,0.092465,-0.022092,0.067931,-0.870273,-0.359687,0.016680,-1.000000,0.111158,-0.228012,0.833927,-0.391387
-0.102748,0.146797,0.066003,0.086793,-0.017813,0.067242,-0.858789,-0.240066,0.040046,-1.000000,0.284828,-0.277779,0.775690,-0.437460
-0.104816,0.151560,0.056062,0.079778,-0.019366,0.062130,-0.852916,-0.130075,0.069688,-1.000000,0.351166,-0.218549,0.609550,-0.374896
-0.107392,0.158047,0.047976,0.071028,-0.042591,0.046676,-0.826219,-0.077710,0.079609,-1.000000,0.381780,-0.161048,0.495203,-0.327460
-0.109040,0.163721,0.041616,0.057444,-0.042369,0.039739,-0.781124,-0.158490,0.094437,-1.000000,0.358824,-0.212467,0.418714,-0.280806
-0.110499,0.168482,0.036662,0.044181,-0.033879,0.028579,-0.650353,-0.539979,0.199087,-1.000000,0.262350,-0.269014,0.350462,-0.215770
-0.111704,0.171618,0.034086,0.030609,-0.026751,0.016094,-0.557635,-0.630464,0.241040,-1.000000,0.234526,-0.299810,0.465942,-0.288246
-0.111754,0.175280,0.031798,0.014133,-0.031471,0.013200,-0.430931,-0.660395,0.133403,-1.000000,0.156742,-0.402737,0.803031,-0.480043
-0.110919,0.178824,0.030271,0.000093,-0.035837,0.009551,-0.257206,-0.724171,-0.119170,-1.000000,0.157254,-0.372925,0.755550,-0.512234
-0.110083,0.181202,0.030306,-0.009407,-0.026263,-0.000204,-0.158591,-0.773414,0.056651,-1.000000,0.232490,-0.156073,0.622666,-0.498804
-0.109228,0.182072,0.031528,-0.018442,-0.015403,-0.007637,-0.120812,-0.848662,0.302603,-1.000000,0.143323,-0.146072,0.587632,-0.449610
-0.107701,0.182066,0.033303,-0.027943,-0.006660,-0.010245,0.009606,-0.857996,0.031562,-0.761093,0.101007,-0.335145,0.452490,-0.398973
-0.106017,0.181034,0.035515,-0.035055,0.003325,-0.013819,0.146034,-0.850883,-0.279309,-0.486501,0.116396,-0.383607,0.495877,-0.473220
-0.104041,0.178810,0.038447,-0.040005,0.013628,-0.016923,0.165474,-0.871582,-0.217490,-0.345851,-0.034992,-0.328000,0.637308,-0.475191
-0.101799,0.175183,0.041394,-0.046312,0.031583,-0.018406,0.146574,-0.844034,-0.148646,-0.221627,-0.155961,-0.284978,0.589511,-0.357564
-0.098306,0.170733,0.043992,-0.054067,0.039720,-0.014990,0.204897,-0.776294,-0.310491,-0.042259,-0.081318,-0.300784,0.562758,-0.379705
-0.093364,0.167425,0.044520,-0.062252,0.037462,-0.003304,0.272624,-0.649007,-0.564630,0.223941,-0.034918,-0.398329,0.599439,-0.438618
-0.086654,0.164505,0.043265,-0.066439,0.036103,0.007238,0.247923,-0.541150,-0.422411,0.346296,-0.064988,-0.387466,0.550407,-0.350193
-0.079511,0.161584,0.040428,-0.067563,0.043913,0.017737,0.131698,-0.471278,0.141380,0.275758,-0.098213,-0.206224,0.513996,-0.187911
-0.070422,0.157864,0.034743,-0.067987,0.056163,0.032776,0.100289,-0.412403,0.437075,0.263849,-0.003180,-0.180088,0.522121,-0.191877
-0.061225,0.153954,0.027878,-0.068798,0.064210,0.042924,0.143307,-0.183275,0.315960,0.334363,0.324102,-0.332079,0.442593,-0.365729
-0.051165,0.149467,0.019348,-0.064974,0.066734,0.049220,0.070212,0.152220,0.390362,0.241632,0.531634,-0.315628,0.372346,-0.414820
-0.041835,0.144909,0.011052,-0.064497,0.069530,0.051843,-0.033617,0.356365,0.613923,0.187753,0.512091,-0.136976,0.197855,-0.213889
-0.032000,0.139671,0.001994,-0.062620,0.070039,0.052289,-0.074222,0.486203,0.591963,0.208232,0.628437,-0.065354,-0.151355,-0.049200
-0.023654,0.135608,-0.005657,-0.059273,0.057039,0.047816,-0.067223,0.546156,0.532579,0.293729,0.757855,-0.231437,-0.294261,-0.062529
-0.015458,0.131721,-0.013009,-0.055566,0.048304,0.042403,-0.120337,0.534498,0.628025,0.282500,0.640705,-0.403016,-0.236577,0.004579
-0.008586,0.128019,-0.019128,-0.051630,0.047316,0.038243,-0.126751,0.356749,0.806934,0.228072,0.491462,-0.335463,-0.134184,0.082542
-0.001709,0.124205,-0.025456,-0.047596,0.043523,0.036520,-0.050756,0.244832,0.763319,0.283881,0.547799,-0.252948,-0.039409,-0.033706
0.004126,0.121287,-0.031225,-0.042591,0.034794,0.035983,0.008040,0.268520,0.631773,0.298294,0.660119,-0.317583,0.031994,-0.208701
0.009273,0.118116,-0.036461,-0.034650,0.033932,0.030217,-0.025730,0.284641,0.770974,0.206092,0.643192,-0.316343,0.021786,-0.162346
0.012637,0.115423,-0.039980,-0.024546,0.030801,0.022029,-0.077783,0.239830,0.973556,0.088521,0.574147,-0.180539,-0.037852,-0.030627
0.014732,0.112527,-0.042614,-0.012530,0.030618,0.015187,-0.040413,0.202531,0.718157,0.097331,0.607359,-0.222041,-0.086824,-0.075810
0.015374,0.109943,-0.044304,-0.000535,0.029822,0.010566,0.005837,0.111687,0.393164,0.083312,0.624309,-0.396516,-0.108898,-0.156598
0.014788,0.107579,-0.045319,0.010289,0.025423,0.005855,-0.048679,0.042533,0.288264,-0.032751,0.448746,-0.414546,-0.046356,-0.059372
0.013295,0.106153,-0.045638,0.019064,0.016808,0.001994,-0.130675,-0.019448,0.271465,-0.230132,0.227860,-0.325092,0.127597,0.010192
0.011034,0.105208,-0.045708,0.025077,0.010338,0.000406,-0.139473,-0.104188,0.115304,-0.343363,0.225374,-0.351351,0.208686,-0.091430
0.008303,0.104725,-0.045120,0.030242,0.006000,-0.003685,-0.122682,-0.190507,-0.015696,-0.427495,0.340204,-0.385099,0.197113,-0.237348
0.004702,0.104233,-0.043578,0.034000,0.005832,-0.008893,-0.166194,-0.244281,0.040334,-0.576847,0.276227,-0.326930,0.273011,-0.241570
0.000669,0.105040,-0.040871,0.037441,-0.009176,-0.016909,-0.193376,-0.308420,0.022736,-0.670107,0.124581,-0.300796,0.343811,-0.177765
-0.003965,0.105789,-0.037376,0.038245,-0.008219,-0.020163,-0.140314,-0.334811,-0.239565,-0.623276,0.171201,-0.349394,0.313957,-0.254899
