#{"t_start": 1743785438.5142946, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v4"}
r,l,t
840.920449,1001,47522.045482
865.066961,1001,47773.041178
843.907611,1001,48023.298213
849.140762,1001,48274.293009
843.762114,1001,48524.554183
839.407719,1001,48775.553884
853.140179,1001,49025.805134
860.30434,1001,49276.78855
859.118355,1001,49527.057518
883.644305,1001,49778.033655
863.221937,1001,50028.311402
854.665804,1001,50279.313233
863.93498,1001,50529.564667
864.446534,1001,50780.534457
891.67601,1001,51030.819178
878.277996,1001,51281.820035
874.060638,1001,51532.072363
863.187681,1001,51782.324092
862.130468,1001,52033.326231
874.503821,1001,52283.577575
886.633268,1001,52534.580005
891.464745,1001,52784.830406
887.04086,1001,53035.831906
863.481298,1001,53286.083549
876.119524,1001,53537.086061
886.31161,1001,53787.338121
899.646965,1001,54038.340883
879.126589,1001,54288.591756
900.984818,1001,54539.592974
870.572739,1001,54789.843971
885.241931,1001,55040.843875
871.14077,1001,55291.095525
892.589736,1001,55542.0986
879.202445,1001,55792.349266
900.012158,1001,56043.351376
898.261509,1001,56293.602284
874.748689,1001,56544.603886
873.05127,1001,56794.856014
872.3077,1001,57045.85666
911.771299,1001,57296.108119
882.613961,1001,57547.110583
911.749674,1001,57797.363666
885.563033,1001,58048.364619
891.148985,1001,58298.617268
896.968086,1001,58549.614512
903.105719,1001,58799.869015
894.131356,1001,59050.863311
869.058766,1001,59301.122829
881.730606,1001,59552.106356
877.704868,1001,59802.376375
886.433762,1001,60053.334302
884.592993,1001,60303.630297
892.602325,1001,60554.609852
883.150434,1001,60804.881713
878.189923,1001,61055.878912
893.557834,1001,61306.13517
909.002945,1001,61557.131103
891.365057,1001,61807.391704
919.080754,1001,62058.380823
896.601723,1001,62308.644607
913.225273,1001,62559.603388
893.983372,1001,62809.895815
889.665013,1001,63060.148756
902.970076,1001,63311.148701
903.399008,1001,63561.401338
904.834824,1001,63812.403264
902.679933,1001,64062.655454
902.141137,1001,64313.656575
921.251659,1001,64563.906926
899.112797,1001,64814.909331
922.254403,1001,65065.161293
925.256313,1001,65316.166018
899.909145,1001,65566.416256
905.842758,1001,65817.416581
907.751852,1001,66067.672123
910.808672,1001,66318.669263
929.724039,1001,66568.920337
924.137531,1001,66819.921641
925.672396,1001,67070.173946
934.624613,1001,67321.174642
911.503433,1001,67571.427583
902.276578,1001,67822.428623
903.28773,1001,68072.680525
909.650632,1001,68323.682848
906.347378,1001,68573.9325
925.187638,1001,68824.93452
912.236887,1001,69075.186172
936.318782,1001,69326.190372
914.287321,1001,69576.44326
922.566671,1001,69827.437011
930.665936,1001,70077.693892
909.588,1001,70328.685721
925.4242,1001,70578.948799
925.271593,1001,70829.947999
937.453556,1001,71080.200639
907.018215,1001,71331.203192
934.353994,1001,71581.454516
919.354833,1001,71832.449433
919.069088,1001,72082.711676
945.461409,1001,72333.690693
950.79397,1001,72583.961016
929.88098,1001,72834.919575
920.775614,1001,73085.214585
887.786561,1001,73336.168663
915.67554,1001,73586.469036
922.157691,1001,73836.721763
949.936373,1001,74087.723756
914.638579,1001,74337.973984
915.416586,1001,74588.975596
922.495761,1001,74839.227976
933.123866,1001,75090.2282
917.127422,1001,75340.480814
927.647822,1001,75591.483097
922.931141,1001,75841.733423
917.223273,1001,76092.7367
919.497172,1001,76342.98568
946.272075,1001,76593.988562
911.045068,1001,76844.240239
920.53764,1001,77095.241416
925.585958,1001,77345.494193
926.178541,1001,77596.493894
